in s,C1 in V
-5.9999846E-02,3.95801E+00
-5.9998925E-02,3.98730E+00
-5.9998003E-02,3.96777E+00
-5.9997082E-02,3.96777E+00
-5.9996160E-02,3.99707E+00
-5.9995238E-02,3.89941E+00
-5.9994317E-02,3.90918E+00
-5.9993395E-02,3.96777E+00
-5.9992474E-02,3.95801E+00
-5.9991552E-02,3.97754E+00
-5.9990630E-02,3.98730E+00
-5.9989709E-02,4.00684E+00
-5.9988787E-02,3.98730E+00
-5.9987866E-02,3.99707E+00
-5.9986944E-02,3.97754E+00
-5.9986022E-02,3.96777E+00
-5.9985101E-02,3.96777E+00
-5.9984179E-02,3.97754E+00
-5.9983258E-02,3.96777E+00
-5.9982336E-02,3.99707E+00
-5.9981414E-02,3.97754E+00
-5.9980493E-02,3.95801E+00
-5.9979571E-02,3.97754E+00
-5.9978650E-02,3.97754E+00
-5.9977728E-02,3.96777E+00
-5.9976806E-02,3.98730E+00
-5.9975885E-02,4.01660E+00
-5.9974963E-02,3.98730E+00
-5.9974042E-02,3.95801E+00
-5.9973120E-02,3.97754E+00
-5.9972198E-02,3.97754E+00
-5.9971277E-02,3.98730E+00
-5.9970355E-02,3.95801E+00
-5.9969434E-02,3.97754E+00
-5.9968512E-02,3.94824E+00
-5.9967590E-02,3.87988E+00
-5.9966669E-02,3.99707E+00
-5.9965747E-02,3.97754E+00
-5.9964826E-02,4.01660E+00
-5.9963904E-02,3.96777E+00
-5.9962982E-02,4.01660E+00
-5.9962061E-02,3.97754E+00
-5.9961139E-02,4.01660E+00
-5.9960218E-02,3.96777E+00
-5.9959296E-02,3.97754E+00
-5.9958374E-02,3.95801E+00
-5.9957453E-02,4.00684E+00
-5.9956531E-02,3.98730E+00
-5.9955610E-02,3.96777E+00
-5.9954688E-02,3.98730E+00
-5.9953766E-02,3.95801E+00
-5.9952845E-02,4.00684E+00
-5.9951923E-02,3.95801E+00
-5.9951002E-02,3.98730E+00
-5.9950080E-02,4.00684E+00
-5.9949158E-02,3.98730E+00
-5.9948237E-02,3.97754E+00
-5.9947315E-02,3.99707E+00
-5.9946394E-02,3.98730E+00
-5.9945472E-02,4.00684E+00
-5.9944550E-02,3.99707E+00
-5.9943629E-02,3.98730E+00
-5.9942707E-02,3.98730E+00
-5.9941786E-02,3.95801E+00
-5.9940864E-02,3.99707E+00
-5.9939942E-02,3.98730E+00
-5.9939021E-02,4.02637E+00
-5.9938099E-02,3.99707E+00
-5.9937178E-02,3.95801E+00
-5.9936256E-02,3.97754E+00
-5.9935334E-02,3.99707E+00
-5.9934413E-02,3.97754E+00
-5.9933491E-02,4.00684E+00
-5.9932570E-02,4.00684E+00
-5.9931648E-02,3.97754E+00
-5.9930726E-02,4.00684E+00
-5.9929805E-02,3.98730E+00
-5.9928883E-02,3.99707E+00
-5.9927962E-02,4.01660E+00
-5.9927040E-02,3.97754E+00
-5.9926118E-02,4.00684E+00
-5.9925197E-02,3.98730E+00
-5.9924275E-02,3.99707E+00
-5.9923354E-02,3.97754E+00
-5.9922432E-02,3.99707E+00
-5.9921510E-02,3.97754E+00
-5.9920589E-02,4.00684E+00
-5.9919667E-02,3.97754E+00
-5.9918746E-02,3.98730E+00
